drug,category,alternatives
Warfarin,anticoagulant,"Apixaban,Rivaroxaban,Dabigatran"
Aspirin,NSAID/antiplatelet,"Acetaminophen (for pain),Clopidogrel (for antiplatelet)"
Ibuprofen,NSAID,"Acetaminophen,Naproxen,Celecoxib"
Naproxen,NSAID,"Acetaminophen,Ibuprofen,Celecoxib"
Simvastatin,statin,"Pravastatin,Rosuvastatin,Fluvastatin"
Atorvastatin,statin,"Pravastatin,Rosuvastatin,Fluvastatin"
Metformin,antidiabetic,"Sitagliptin,Empagliflozin,Linagliptin"
Lisinopril,ACE inhibitor,"Losartan,Valsartan,Amlodipine"
Omeprazole,PPI,"Pantoprazole,Lansoprazole,Ranitidine"
Metronidazole,antibiotic,"Tinidazole,Clindamycin (site-specific)"
Ciprofloxacin,antibiotic,"Levofloxacin,Amoxicillin-Clavulanate"
Clarithromycin,antibiotic,"Azithromycin,Doxycycline"
Fluoxetine,SSRI,"Sertraline,Escitalopram,Citalopram"
Codeine,opioid,"Tramadol,Acetaminophen,NSAIDs"
Sildenafil,PDE5 inhibitor,"Tadalafil,Vardenafil"
Opioids,opioid,"NSAIDs,Acetaminophen,Gabapentin,Physical therapy"
Benzodiazepines,sedative,"Hydroxyzine,Buspirone,SSRIs (for anxiety)"
Carbamazepine,anticonvulsant,"Lamotrigine,Levetiracetam,Oxcarbazepine"
Rifampicin,antibiotic,"Ethambutol,Pyrazinamide (consult specialist)"
Digoxin,cardiac glycoside,"Beta-blockers,Amiodarone (with caution)"
Lithium,mood stabilizer,"Valproate,Lamotrigine,Quetiapine"
Methotrexate,DMARD,"Leflunomide,Hydroxychloroquine,Sulfasalazine"
Allopurinol,antigout,"Febuxostat,Probenecid"
SSRIs,antidepressant,"SNRIs,Mirtazapine,Bupropion"
